model,label,tp,pp,layer_split,ffn_splits,head_splits,kv_splits,workload,in_len,out_len,n_req,tps,ttft_ms,itl_ms,regime,n_layers,hidden,ffn_dim,n_q,n_kv,head_dim,params_b,vocab,source_dir
8b,TP2PP4_layer_blackbias_10-10-6-6,2,4,10-10-6-6,7168:7168,16:16,4:4,decode_heavy,128,512,128,2515.252958,5098.301536,41.221422,overlap,32,4096,14336,32,8,128,8,128256,hetero_4x4_8b_full_20260609_194231
8b,TP2PP4_layer_blackbias_10-10-6-6,2,4,10-10-6-6,7168:7168,16:16,4:4,prefill_heavy,1024,128,128,1220.093765,4850.438672,66.560857,overlap,32,4096,14336,32,8,128,8,128256,hetero_4x4_8b_full_20260609_194231
8b,TP2PP4_layer_blackbias_9-9-7-7,2,4,9-9-7-7,7168:7168,16:16,4:4,balanced,512,256,128,1731.598278,4969.352857,54.307083,overlap,32,4096,14336,32,8,128,8,128256,hetero_4x4_8b_full_20260609_194231
8b,TP2PP4_layer_blackbias_9-9-7-7,2,4,9-9-7-7,7168:7168,16:16,4:4,decode_heavy,128,512,128,2162.041352,5176.738248,49.092317,overlap,32,4096,14336,32,8,128,8,128256,hetero_4x4_8b_full_20260609_194231
8b,TP2PP4_layer_blackbias_9-9-7-7,2,4,9-9-7-7,7168:7168,16:16,4:4,prefill_heavy,1024,128,128,1255.687455,5021.41285,62.086949,overlap,32,4096,14336,32,8,128,8,128256,hetero_4x4_8b_full_20260609_194231
8b,TP2PP4_layer_uniform_8-8-8-8,2,4,8-8-8-8,7168:7168,16:16,4:4,balanced,512,256,128,1773.611843,4764.738338,53.037537,overlap,32,4096,14336,32,8,128,8,128256,hetero_4x4_8b_full_20260609_194231
8b,TP2PP4_layer_uniform_8-8-8-8,2,4,8-8-8-8,7168:7168,16:16,4:4,decode_heavy,128,512,128,2249.951487,4156.240373,48.770926,overlap,32,4096,14336,32,8,128,8,128256,hetero_4x4_8b_full_20260609_194231
8b,TP2PP4_layer_uniform_8-8-8-8,2,4,8-8-8-8,7168:7168,16:16,4:4,prefill_heavy,1024,128,128,1260.054987,5020.215322,61.867448,overlap,32,4096,14336,32,8,128,8,128256,hetero_4x4_8b_full_20260609_194231
8b,TP4PP2_layer_skew+2_18-14,4,2,18-14,3584:3584:3584:3584,8:8:8:8,2:2:2:2,balanced,512,256,128,2958.912925,2380.037562,34.083493,overlap,32,4096,14336,32,8,128,8,128256,hetero_4x4_8b_full_20260609_194231
8b,TP4PP2_layer_skew+2_18-14,4,2,18-14,3584:3584:3584:3584,8:8:8:8,2:2:2:2,decode_heavy,128,512,128,3886.610135,2575.397065,27.957613,overlap,32,4096,14336,32,8,128,8,128256,hetero_4x4_8b_full_20260609_194231
8b,TP4PP2_layer_skew+2_18-14,4,2,18-14,3584:3584:3584:3584,8:8:8:8,2:2:2:2,prefill_heavy,1024,128,128,2070.391701,2210.36381,43.937986,overlap,32,4096,14336,32,8,128,8,128256,hetero_4x4_8b_full_20260609_194231
8b,TP4PP2_layer_skew+4_20-12,4,2,20-12,3584:3584:3584:3584,8:8:8:8,2:2:2:2,balanced,512,256,128,2819.039908,2455.483161,35.834199,overlap,32,4096,14336,32,8,128,8,128256,hetero_4x4_8b_full_20260609_194231
8b,TP4PP2_layer_skew+4_20-12,4,2,20-12,3584:3584:3584:3584,8:8:8:8,2:2:2:2,decode_heavy,128,512,128,3083.675802,3031.770795,35.74801,overlap,32,4096,14336,32,8,128,8,128256,hetero_4x4_8b_full_20260609_194231
