layout,model,tp,pp,label,layer_split,ffn_splits,workload,n_req,in_len,out_len,tps,itl_ms,ttft_ms
4+4,70b,8,1,TP8PP1_uniform,80,3584:3584:3584:3584:3584:3584:3584:3584,decode_heavy,32,128,512,365.6,86.9,571.5
4+4,70b,8,1,TP8PP1_ffn_bias+50,80,5376:5376:5376:5376:1792:1792:1792:1792,decode_heavy,32,128,512,345.5,92.4,440.5
4+4,70b,1,8,TP1PP8_skew+8,18-18-18-18-2-2-2-2,28672,decode_heavy,32,128,512,293.2,109.4,252.2
4+4,70b,1,8,TP1PP8_uniform,10-10-10-10-10-10-10-10,28672,decode_heavy,32,128,512,234.6,136.7,341.3
4+4,70b,4,2,TP4PP2_skew+12,52-28,7168:7168:7168:7168,decode_heavy,64,128,512,1046.4,60.8,321.0
4+4,70b,4,2,TP4PP2_skew+8,48-32,7168:7168:7168:7168,decode_heavy,64,128,512,1025.4,62.0,359.8
4+4,70b,4,2,TP4PP2_uniform,40-40,7168:7168:7168:7168,decode_heavy,64,128,512,999.5,63.6,374.9
4+4,70b,2,4,TP2PP4_skew+12,32-32-8-8,14336:14336,decode_heavy,64,128,512,914.2,69.9,242.7
4+4,70b,2,4,TP2PP4_skew+8,28-28-12-12,14336:14336,decode_heavy,64,128,512,865.1,73.9,264.8
4+4,70b,2,4,TP2PP4_uniform,20-20-20-20,14336:14336,decode_heavy,64,128,512,787.0,81.2,302.5
4+4,70b,1,8,TP1PP8_uniform,10-10-10-10-10-10-10-10,28672,decode_heavy,64,128,512,455.8,140.6,356.7
4+4,70b,1,8,TP1PP8_skew+8,18-18-18-18-2-2-2-2,28672,decode_heavy,64,128,512,422.0,152.1,272.6
4+4,70b,8,1,TP8PP1_ffn_bias+50,80,5376:5376:5376:5376:1792:1792:1792:1792,decode_heavy,64,128,512,374.0,171.1,568.1
4+4,70b,8,1,TP8PP1_uniform,80,3584:3584:3584:3584:3584:3584:3584:3584,decode_heavy,64,128,512,372.4,172.0,426.8
4+4,70b,4,2,TP4PP2_skew+8,48-32,7168:7168:7168:7168,decode_heavy,96,128,512,1543.1,61.8,381.8
4+4,70b,4,2,TP4PP2_skew+12,52-28,7168:7168:7168:7168,decode_heavy,96,128,512,1469.3,64.7,472.9
4+4,70b,4,2,TP4PP2_uniform,40-40,7168:7168:7168:7168,decode_heavy,96,128,512,1377.8,69.2,428.1
4+4,70b,2,4,TP2PP4_skew+8,28-28-12-12,14336:14336,decode_heavy,96,128,512,1191.6,80.2,390.8
4+4,70b,2,4,TP2PP4_skew+12,32-32-8-8,14336:14336,decode_heavy,96,128,512,1045.8,91.6,364.7
4+4,70b,2,4,TP2PP4_uniform,20-20-20-20,14336:14336,decode_heavy,96,128,512,950.6,100.7,467.4
4+4,70b,1,8,TP1PP8_skew+8,18-18-18-18-2-2-2-2,28672,decode_heavy,96,128,512,556.5,172.8,363.1
4+4,70b,1,8,TP1PP8_uniform,10-10-10-10-10-10-10-10,28672,decode_heavy,96,128,512,523.0,183.9,439.3
4+4,70b,8,1,TP8PP1_uniform,80,3584:3584:3584:3584:3584:3584:3584:3584,decode_heavy,96,128,512,388.7,247.1,624.4
4+4,70b,8,1,TP8PP1_ffn_bias+50,80,5376:5376:5376:5376:1792:1792:1792:1792,decode_heavy,96,128,512,377.2,254.9,682.4
4+4,70b,4,2,TP4PP2_skew+12,52-28,7168:7168:7168:7168,prefill_heavy,16,1024,128,276.2,51.1,913.7
4+4,70b,4,2,TP4PP2_skew+8,48-32,7168:7168:7168:7168,prefill_heavy,16,1024,128,264.4,53.2,967.9
4+4,70b,8,1,TP8PP1_uniform,80,3584:3584:3584:3584:3584:3584:3584:3584,prefill_heavy,16,1024,128,244.7,58.0,977.6
4+4,70b,4,2,TP4PP2_uniform,40-40,7168:7168:7168:7168,prefill_heavy,16,1024,128,241.5,58.3,1057.8
4+4,70b,8,1,TP8PP1_ffn_bias+50,80,5376:5376:5376:5376:1792:1792:1792:1792,prefill_heavy,16,1024,128,228.6,60.9,1188.3
4+4,70b,2,4,TP2PP4_skew+12,32-32-8-8,14336:14336,prefill_heavy,16,1024,128,174.1,68.9,2984.8
4+4,70b,2,4,TP2PP4_skew+8,28-28-12-12,14336:14336,prefill_heavy,16,1024,128,149.8,84.1,2966.2
4+4,70b,2,4,TP2PP4_uniform,20-20-20-20,14336:14336,prefill_heavy,16,1024,128,125.8,104.3,3014.3
4+4,70b,1,8,TP1PP8_skew+8,18-18-18-18-2-2-2-2,28672,prefill_heavy,16,1024,128,104.5,110.4,5517.2
4+4,70b,1,8,TP1PP8_uniform,10-10-10-10-10-10-10-10,28672,prefill_heavy,16,1024,128,89.6,135.0,5666.5
4+4,70b,4,2,TP4PP2_skew+8,48-32,7168:7168:7168:7168,prefill_heavy,32,1024,128,607.4,51.6,154.6
4+4,70b,4,2,TP4PP2_skew+12,52-28,7168:7168:7168:7168,prefill_heavy,32,1024,128,566.5,55.5,147.1
4+4,70b,4,2,TP4PP2_uniform,40-40,7168:7168:7168:7168,prefill_heavy,32,1024,128,530.3,59.0,187.5
4+4,70b,2,4,TP2PP4_skew+12,32-32-8-8,14336:14336,prefill_heavy,32,1024,128,407.0,77.5,196.7
4+4,70b,2,4,TP2PP4_skew+8,28-28-12-12,14336:14336,prefill_heavy,32,1024,128,388.9,81.1,203.3
4+4,70b,2,4,TP2PP4_uniform,20-20-20-20,14336:14336,prefill_heavy,32,1024,128,379.6,82.9,221.1
4+4,70b,8,1,TP8PP1_uniform,80,3584:3584:3584:3584:3584:3584:3584:3584,prefill_heavy,32,1024,128,356.9,85.5,568.0
